Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;42;03/03/2025;03/03/2025 15:02:45;;;0;13099292;2488865;15588157;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
2;33;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;43;03/03/2025;03/03/2025 15:06:36;;;0;11558199;2196058;13754257;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
3;33;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;44;03/03/2025;03/03/2025 15:11:22;;;0;17337299;3294087;20631386;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
4;33;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;45;03/03/2025;03/03/2025 15:13:17;;;0;13869839;2635269;16505108;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
5;33;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;46;04/03/2025;04/03/2025 12:29:12;;;0;2512000;477280;2989280;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;90564674;;;;;
6;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;47;07/03/2025;07/03/2025 09:57:32;14/03/2025 09:59:53;;0;13099292;2488865;15588157;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
7;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;48;07/03/2025;07/03/2025 10:02:24;14/03/2025 09:59:54;;0;11558199;2196058;13754257;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
8;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;49;07/03/2025;07/03/2025 10:08:26;14/03/2025 09:59:53;;0;17337299;3294087;20631386;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
9;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;50;07/03/2025;07/03/2025 10:12:17;14/03/2025 09:59:53;;0;13869839;2635269;16505108;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
10;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;51;07/03/2025;07/03/2025 10:15:44;14/03/2025 09:59:54;;0;13099292;2488865;15588157;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
11;61;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;6;04/03/2025;04/03/2025 13:01:30;;;0;2512000;477280;2989280;0;0;0;0;0;-;0;0;0;0;33;46;;;0;;0;0;0;0;0;;;;90564674;;;;;
12;61;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;7;07/03/2025;07/03/2025 09:51:10;;;0;13099292;2488865;15588157;0;0;0;0;0;-;0;0;0;0;33;42;;;0;;0;0;0;0;0;;;;90564674;;;;;
13;61;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;8;07/03/2025;07/03/2025 09:52:05;;;0;11558199;2196058;13754257;0;0;0;0;0;-;0;0;0;0;33;43;;;0;;0;0;0;0;0;;;;90564674;;;;;
14;61;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;9;07/03/2025;07/03/2025 09:52:37;;;0;17337299;3294087;20631386;0;0;0;0;0;-;0;0;0;0;33;44;;;0;;0;0;0;0;0;;;;90564674;;;;;
15;61;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;10;07/03/2025;07/03/2025 09:53:14;;;0;13869839;2635269;16505108;0;0;0;0;0;-;0;0;0;0;33;45;;;0;;0;0;0;0;0;;;;90564674;;;;;
